# These PC scores were calculated from the 19 BIOCLIM variables plus latitude,,,,,,,,,,,,,,,,,,,,
ind_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CLK_01,2.779954259,0.247537147,-0.138362486,-1.295857464,0.696031615,0.319682091,-0.359014488,-0.373601092,-0.316194162,0.224673261,-0.009692728,-0.030899563,-0.087748719,-0.071749012,0.076191702,-0.032706319,0.03211793,0.010415463,-0.021453957,-1.99E-15
CLK_02,2.717995007,0.309298083,-0.116937317,-1.274981405,0.742162303,0.283928901,-0.388269353,-0.361650472,-0.301940465,0.190366877,-0.011854802,-0.056669106,-0.080009805,-0.054333402,0.066792368,-0.032595406,0.054089145,-0.009566637,-0.000818507,-2.08E-15
CLK_03,2.784384481,0.3041441,-0.127758348,-1.323086738,0.751420462,0.297998765,-0.356290601,-0.377390817,-0.328444145,0.269246182,0.004882994,-0.015868384,-0.084046066,-0.070033189,0.087002831,-0.024532727,0.023387006,0.008227744,-0.011101437,-2.00E-15
CLK_04,2.786796449,0.304105752,-0.125411419,-1.321284955,0.74902047,0.299251983,-0.354537288,-0.375771435,-0.327886763,0.269093735,0.001659084,-0.011504879,-0.082685217,-0.070763572,0.090588846,-0.023756909,0.024479376,0.011843407,-0.006142383,-1.97E-15
CLK_05,2.786796449,0.304105752,-0.125411419,-1.321284955,0.74902047,0.299251983,-0.354537288,-0.375771435,-0.327886763,0.269093735,0.001659084,-0.011504879,-0.082685217,-0.070763572,0.090588846,-0.023756909,0.024479376,0.011843407,-0.006142383,-1.97E-15
CLK_06,2.763491604,0.305340362,-0.135531192,-1.291822565,0.729803235,0.279370026,-0.365157345,-0.372702484,-0.314027377,0.239776737,0.000594645,-0.0219645,-0.081599643,-0.065486631,0.088828697,-0.037697639,0.034183384,0.001178301,-0.010597965,-2.00E-15
CLK_07,2.780217642,0.247939444,-0.138548295,-1.295943851,0.696032662,0.320125438,-0.359482007,-0.374408203,-0.316561986,0.224183318,-0.00963413,-0.031046083,-0.087833909,-0.071616066,0.076161839,-0.032768836,0.032066642,0.010443347,-0.02146714,-1.99E-15
CLK_08,2.759056913,0.331009292,-0.155857688,-1.292600302,0.757345213,0.282359547,-0.367474191,-0.368664148,-0.299565892,0.240486303,0.015515138,-0.032953503,-0.07938915,-0.053540658,0.073892073,-0.037606447,0.039295694,0.026184896,-0.012106721,-1.99E-15
CLK_09,2.781762235,0.249756277,-0.136958068,-1.294402869,0.694262379,0.32248269,-0.360028812,-0.376416732,-0.317340263,0.22145974,-0.010903019,-0.028470989,-0.087821827,-0.071244553,0.079354637,-0.031495878,0.029522518,0.013796811,-0.018262099,-1.99E-15
CPL_10,-1.126568432,0.394913824,-0.056587496,1.262793324,0.061342357,0.039073354,0.398342832,0.175305124,0.247470099,0.066812356,-0.05094395,-0.092131979,0.000213924,-0.013653496,-0.004890273,0.052760325,0.012645535,0.005483865,0.009463292,9.53E-16
CPL_11,-1.126305049,0.395316122,-0.056773305,1.262706937,0.061343403,0.039516701,0.397875314,0.174498013,0.247102275,0.066322412,-0.050885352,-0.092278499,0.000128734,-0.01352055,-0.004920137,0.052697808,0.012594248,0.005511748,0.009450109,9.53E-16
